psa,offense_group,offense_text,shift,method,district,ward,year,month,day_of_week,latitude,longitude
402.0,property,THEFT F/AUTO,day,others,4.0,4.0,2023,8.0,Thursday,38.9661319168,-77.0267845339
209.0,property,THEFT/OTHER,midnight,others,2.0,2.0,2023,7.0,Saturday,38.9037344819,-77.0275638538
107.0,property,THEFT/OTHER,day,others,1.0,7.0,2023,7.0,Monday,38.8876037616,-76.9732973908
705.0,property,MOTOR VEHICLE THEFT,midnight,others,7.0,8.0,2023,7.0,Tuesday,38.8424084336,-76.986465355
707.0,property,MOTOR VEHICLE THEFT,evening,others,7.0,8.0,2023,8.0,Sunday,38.8361021161,-77.0037581677
502.0,property,THEFT F/AUTO,day,others,5.0,5.0,2023,2.0,Thursday,38.9186355454,-76.9995272206
502.0,property,MOTOR VEHICLE THEFT,day,others,5.0,5.0,2023,7.0,Wednesday,38.9125974035,-77.0054599094
105.0,property,MOTOR VEHICLE THEFT,day,others,1.0,6.0,2023,7.0,Wednesday,38.8677637155,-77.0106932154
506.0,property,THEFT F/AUTO,day,others,5.0,5.0,2023,1.0,Sunday,38.901753283,-76.9878605145
303.0,property,BURGLARY,day,others,3.0,1.0,2023,1.0,Wednesday,38.9208433787,-77.0438199383
305.0,property,THEFT F/AUTO,evening,others,3.0,1.0,2023,1.0,Thursday,38.9155691497,-77.0288613663
708.0,violent,ROBBERY,evening,others,7.0,8.0,2023,9.0,Tuesday,38.8239832768,-77.0120593575
405.0,property,MOTOR VEHICLE THEFT,day,others,4.0,5.0,2023,5.0,Friday,38.9312193367,-77.0139206211
307.0,property,THEFT/OTHER,day,others,3.0,2.0,2023,5.0,Saturday,38.9137050958,-77.0260010706
104.0,property,MOTOR VEHICLE THEFT,day,others,1.0,6.0,2023,9.0,Monday,38.8961165675,-76.9989772744
205.0,property,THEFT/OTHER,evening,others,2.0,3.0,2023,9.0,Wednesday,38.9124922237,-77.0838520951
605.0,property,THEFT/OTHER,evening,others,6.0,7.0,2023,9.0,Monday,38.8689186523,-76.9594761766
102.0,property,THEFT/OTHER,evening,others,1.0,6.0,2023,9.0,Saturday,38.8954551825,-77.0111885512
606.0,violent,ROBBERY,evening,knife,6.0,7.0,2023,5.0,Tuesday,38.8604101674,-76.9684878807
605.0,violent,ROBBERY,evening,gun,6.0,7.0,2023,9.0,Friday,38.8720064659,-76.938673901
505.0,violent,ROBBERY,evening,others,5.0,5.0,2023,8.0,Thursday,38.9266477417,-76.9762270177
403.0,property,THEFT F/AUTO,day,others,4.0,4.0,2023,6.0,Sunday,38.9509781059,-77.0382202176
105.0,property,THEFT/OTHER,evening,others,1.0,6.0,2023,5.0,Saturday,38.8720345547,-77.0129295636
504.0,property,THEFT F/AUTO,day,others,5.0,5.0,2023,9.0,Monday,38.9321282164,-76.9762212689
506.0,property,MOTOR VEHICLE THEFT,midnight,others,5.0,5.0,2023,9.0,Thursday,38.9138294151,-76.9847364803
204.0,property,THEFT/OTHER,evening,others,2.0,3.0,2023,9.0,Saturday,38.9244999834,-77.0674055591
207.0,property,THEFT/OTHER,evening,others,2.0,2.0,2023,9.0,Sunday,38.9054380874,-77.0323418139
608.0,property,THEFT F/AUTO,midnight,others,6.0,7.0,2023,7.0,Sunday,38.89367998,-76.9136715057
503.0,property,THEFT F/AUTO,evening,others,5.0,5.0,2023,7.0,Wednesday,38.9198458716,-76.9528994141
